iter	RMSE
0	28.06279811
1	24.7886293
2	21.27599618
3	20.17058174
4	19.57046949
5	19.10294995
6	18.62605531
7	18.40995274
8	17.64866773
9	17.43004044
10	16.90753186
11	16.58034196
12	16.48867016
13	16.32898724
14	16.1901891
15	16.03925521
16	15.99133163
17	15.92698222
18	15.89303027
19	15.8678327
20	15.81388893
21	15.76375287
22	15.71885072
23	15.68363367
24	15.65818718
25	15.63596507
26	15.61785115
27	15.60715429
28	15.59600994
29	15.5772812
30	15.57026907
31	15.56651461
32	15.56115606
33	15.54928423
34	15.54391662
35	15.53827559
36	15.53559569
37	15.52616153
38	15.52451586
39	15.52285901
40	15.51899929
41	15.5162757
42	15.51301108
43	15.50849821
44	15.50609
45	15.50127623
46	15.49899338
47	15.49610506
48	15.49421123
49	15.49188313
50	15.49114971
51	15.48999484
52	15.48913465
53	15.48739487
54	15.4866302
55	15.48586429
56	15.48481943
57	15.48406838
58	15.48345819
59	15.48246787
60	15.48205113
61	15.48152712
62	15.48110064
63	15.48073181
64	15.47961234
65	15.47911515
66	15.47890645
67	15.47870879
68	15.4780374
69	15.47755449
70	15.4772927
71	15.47712808
72	15.47683199
73	15.47672707
74	15.47671861
75	15.47654694
76	15.47649928
77	15.47626648
78	15.47613773
79	15.47609316
80	15.47592792
81	15.47561881
82	15.47549167
83	15.4752693
84	15.47520947
85	15.47505156
86	15.47498005
87	15.47492034
88	15.47485649
89	15.47477165
90	15.47468845
91	15.47459694
92	15.47446907
93	15.47442377
94	15.47423983
95	15.4742398
96	15.47418011
97	15.47414089
98	15.4740678
99	15.47402998
100	15.47394895
101	15.47393277
102	15.47389545
103	15.47388692
104	15.47386378
105	15.47382569
106	15.4738067
107	15.4737976
108	15.47378545
109	15.47377615
110	15.47376686
111	15.47374715
112	15.47369773
113	15.47367295
114	15.47366136
115	15.47365298
116	15.47360282
117	15.47358113
118	15.47357227
119	15.47354518
120	15.47349032
121	15.47345809
122	15.47345094
123	15.47344604
124	15.47336613
125	15.47335955
126	15.47334547
127	15.47332308
128	15.47331574
129	15.47330337
130	15.47329778
131	15.4732886
132	15.47328413
133	15.47327943
134	15.473275
135	15.4732745
136	15.47326696
137	15.47325446
138	15.4732499
139	15.47324542
140	15.47324512
141	15.47324127
142	15.47323385
143	15.47323247
144	15.47323115
145	15.47321246
146	15.47321221
147	15.47320427
148	15.47319939
149	15.47319297
150	15.47318451
151	15.4731831
152	15.47318183
153	15.47318048
154	15.47317978
155	15.47317849
156	15.47315774
157	15.47315657
158	15.47315393
159	15.47315238
160	15.47314937
161	15.47314527
162	15.47314157
163	15.4731359
164	15.47313544
165	15.47312542
166	15.47312535
167	15.47311746
168	15.47311409
169	15.47311306
170	15.47311164
171	15.47310986
172	15.47310846
173	15.47307134
174	15.47306041
175	15.4730545
176	15.47305448
177	15.47305355
178	15.47305088
179	15.47304709
180	15.47304647
181	15.47304555
182	15.47304346
183	15.47304067
184	15.47303906
185	15.47303775
186	15.47303708
187	15.4730369
188	15.47303195
189	15.47303126
190	15.47303113
191	15.47302527
192	15.47302462
193	15.47302411
194	15.47302377
195	15.47302322
196	15.47302289
197	15.47302181
198	15.47302097
199	15.47301512
200	15.47301296
201	15.47301249
202	15.47301107
203	15.47301052
204	15.47300962
205	15.47300851
206	15.47300825
207	15.4730079
208	15.47300732
209	15.47300176
210	15.47299947
211	15.47299866
212	15.47299711
213	15.47299678
214	15.47299678
215	15.47299459
216	15.47299431
217	15.47297905
218	15.47297854
219	15.47297729
220	15.47297652
221	15.47297619
222	15.47297224
223	15.47297171
224	15.47297153
225	15.47297134
226	15.47297112
227	15.47297101
228	15.47297072
229	15.47297047
230	15.47297012
231	15.47297007
232	15.47295489
233	15.47295448
234	15.47295126
235	15.47294908
236	15.47294811
237	15.47294734
238	15.47294704
239	15.47294612
240	15.47294595
241	15.47294204
242	15.47293942
243	15.47293841
244	15.47293814
245	15.47293776
246	15.47293763
247	15.47293678
248	15.47293635
249	15.47293527
250	15.47293527
251	15.47293506
252	15.47293475
253	15.47293373
254	15.47293324
255	15.47293147
256	15.47293094
257	15.47292947
258	15.47292937
259	15.47292733
260	15.47292644
261	15.47292566
262	15.47292524
263	15.47292435
264	15.47292422
265	15.47292331
266	15.47292324
267	15.47292315
268	15.47292296
269	15.47292218
270	15.47292186
271	15.47292179
272	15.4729138
273	15.47291317
274	15.47291309
275	15.47291259
276	15.47291252
277	15.47291252
278	15.47291219
279	15.47291201
280	15.47291177
281	15.47291173
282	15.47291131
283	15.47291127
284	15.47291117
285	15.47291112
286	15.47291104
287	15.47291103
288	15.47291084
289	15.47291071
290	15.47291067
291	15.47291062
292	15.47291034
293	15.47291016
294	15.47291009
295	15.47291006
296	15.47291005
297	15.47290996
298	15.47290983
299	15.47290978
300	15.47290967
301	15.47290962
302	15.4729094
303	15.47290918
304	15.4729088
305	15.47290868
306	15.47290864
307	15.47290861
308	15.47290857
309	15.47290583
310	15.47290578
311	15.4729045
312	15.47290433
313	15.47290432
314	15.47290423
315	15.47290405
316	15.4729039
317	15.47290381
318	15.47290189
319	15.47290165
320	15.47290152
321	15.47290143
322	15.47290123
323	15.47290117
324	15.47290113
325	15.47289984
326	15.47289974
327	15.47289971
328	15.47289966
329	15.47289915
330	15.4728991
331	15.47289905
332	15.47289887
333	15.47289821
334	15.47289815
335	15.47289804
336	15.47289781
337	15.47289778
338	15.47289775
339	15.47289668
340	15.47289654
341	15.47289638
342	15.47289632
343	15.472896
344	15.47289593
345	15.47289591
346	15.47289586
347	15.47289581
348	15.47289577
349	15.4728957
350	15.47289567
351	15.47289439
352	15.47289437
353	15.47289427
354	15.47289425
355	15.47289408
356	15.47289405
357	15.47289402
358	15.47289396
359	15.47289394
360	15.47289392
361	15.47289387
362	15.47289386
363	15.47289384
364	15.47289381
365	15.4728938
366	15.47289378
367	15.47289373
368	15.47289372
369	15.47289371
370	15.4728937
371	15.47289368
372	15.4728899
373	15.47288987
374	15.47288985
375	15.4728898
376	15.47288937
377	15.47288927
378	15.47288917
379	15.47288915
380	15.4728891
381	15.47288906
382	15.47288904
383	15.47288904
384	15.47288503
385	15.472885
386	15.47288495
387	15.47288468
388	15.47288463
389	15.47288371
390	15.47288367
391	15.47288363
392	15.47288358
393	15.47288354
394	15.47288352
395	15.47288347
396	15.47288345
397	15.47288344
398	15.47288343
399	15.47288343
400	15.47288342
401	15.47288341
402	15.47288339
403	15.47288307
404	15.47288306
405	15.4728829
406	15.4728829
407	15.47288286
408	15.47288286
409	15.47288286
410	15.47288279
411	15.47288279
412	15.47288278
413	15.47288278
414	15.47288277
415	15.47288275
416	15.47288275
417	15.4728815
418	15.47288148
419	15.47288148
420	15.47288112
421	15.47288111
422	15.47288083
423	15.47288083
424	15.47288083
425	15.47288081
426	15.4728808
427	15.47288078
428	15.47288075
429	15.47288051
430	15.47288047
431	15.47288045
432	15.47288044
433	15.47288044
434	15.47288039
435	15.47288037
436	15.47288036
437	15.47288032
438	15.47288029
439	15.47288028
440	15.47288003
441	15.47288002
442	15.47287999
443	15.47287998
444	15.47287997
445	15.47287993
446	15.4728799
447	15.47287989
448	15.47287987
449	15.47287987
450	15.47287987
451	15.47287963
452	15.47287953
453	15.47287952
454	15.47287951
455	15.47287948
456	15.47287947
457	15.47287947
458	15.47287776
459	15.47287776
460	15.47287774
461	15.4728777
462	15.4728777
463	15.47287767
464	15.47287766
465	15.47287758
466	15.47287756
467	15.47287752
468	15.47287714
469	15.47287703
470	15.47287696
471	15.47287693
472	15.4728769
473	15.47287689
474	15.47287689
475	15.47287689
476	15.47287689
477	15.47287688
478	15.47287688
479	15.47287687
480	15.47287687
481	15.47287684
482	15.47287683
483	15.47287682
484	15.47287677
485	15.47287676
486	15.47287675
487	15.47287673
488	15.47287673
489	15.47287672
490	15.47287664
491	15.47287662
492	15.47287633
493	15.47287633
494	15.47287633
495	15.47287632
496	15.47287632
497	15.4728763
498	15.4728763
499	15.47287629
500	15.47287626
501	15.47287624
502	15.47287624
503	15.47287382
504	15.4728738
505	15.47287378
506	15.47287377
507	15.47287375
508	15.47287374
509	15.47287374
510	15.47287374
511	15.47287374
512	15.47287373
513	15.47287373
514	15.4728731
515	15.47287303
516	15.47287302
517	15.47287302
518	15.47287302
519	15.47287295
520	15.47287291
521	15.47287289
522	15.47287288
523	15.47287287
524	15.47287287
525	15.47287286
526	15.47287284
527	15.47287228
528	15.47287222
529	15.47287213
530	15.47287208
531	15.47287207
532	15.47287204
533	15.47287203
534	15.47287203
535	15.47287203
536	15.47287198
537	15.47287198
538	15.47287198
539	15.47287177
540	15.47287166
541	15.47287164
542	15.47287163
543	15.47287161
544	15.4728716
545	15.47287158
546	15.47287157
547	15.47287157
548	15.47287156
549	15.47287156
550	15.47287156
551	15.47287155
552	15.47287154
553	15.47287154
554	15.47287153
555	15.47287153
556	15.47287152
557	15.47287151
558	15.47287151
559	15.47287151
560	15.4728715
561	15.4728715
562	15.4728715
563	15.47287147
564	15.47287147
565	15.47287147
566	15.47287147
567	15.47287147
568	15.47287147
569	15.47287119
570	15.47287117
571	15.47287116
572	15.47287082
573	15.47287079
574	15.47287079
575	15.47287077
576	15.47287077
577	15.47287077
578	15.47287077
579	15.47287076
580	15.47287076
581	15.47287076
582	15.47287076
583	15.47287076
584	15.47287073
585	15.47287072
586	15.47287072
587	15.47287072
588	15.47287072
589	15.47287072
590	15.47286998
591	15.47286998
592	15.47286996
593	15.47286995
594	15.47286994
595	15.47286994
596	15.47286994
597	15.47286994
598	15.47286953
599	15.47286953
600	15.47286952
601	15.47286952
602	15.47286951
603	15.47286951
604	15.47286951
605	15.47286944
606	15.47286944
607	15.47286944
608	15.47286943
609	15.47286941
610	15.47286939
611	15.47286939
612	15.47286938
613	15.47286938
614	15.47286938
615	15.47286938
616	15.47286937
617	15.47286937
618	15.47286936
619	15.47286936
620	15.47286936
621	15.47286936
622	15.47286936
623	15.47286935
624	15.47286935
625	15.47286935
626	15.47286935
627	15.47286935
628	15.47286935
629	15.47286934
630	15.47286934
631	15.47286934
632	15.47286934
633	15.47286934
634	15.47286934
635	15.47286928
636	15.47286926
637	15.47286925
638	15.4728692
639	15.47286919
640	15.47286916
641	15.47286915
642	15.47286915
643	15.47286915
644	15.47286915
645	15.47286915
646	15.47286907
647	15.47286907
648	15.47286907
649	15.47286906
650	15.47286883
651	15.47286883
652	15.47286882
653	15.47286882
654	15.47286882
655	15.47286877
656	15.47286877
657	15.47286877
658	15.47286876
659	15.47286872
660	15.47286868
661	15.47286868
662	15.47286859
663	15.47286859
664	15.47286858
665	15.47286858
666	15.47286858
667	15.47286858
668	15.47286858
669	15.47286857
670	15.47286857
671	15.47286857
672	15.47286847
673	15.47286846
674	15.47286845
675	15.47286843
676	15.47286628
677	15.47286627
678	15.47286626
679	15.47286626
680	15.47286622
681	15.47286595
682	15.47286594
683	15.47286594
684	15.47286593
685	15.47286591
686	15.47286589
687	15.47286586
688	15.47286586
689	15.47286585
690	15.47286585
691	15.47286584
692	15.47286584
693	15.47286584
694	15.47286583
695	15.47286583
696	15.47286581
697	15.4728658
698	15.47286526
699	15.47286526
700	15.47286525
701	15.47286525
702	15.47286525
703	15.47286525
704	15.47286525
705	15.47286524
706	15.47286524
707	15.47286524
708	15.47286524
709	15.47286524
710	15.47286523
711	15.47286523
712	15.47286523
713	15.47286491
714	15.47286482
715	15.4728648
716	15.47286479
717	15.47286478
718	15.47286478
719	15.47286449
720	15.47286445
721	15.47286445
722	15.47286444
723	15.47286433
724	15.47286433
725	15.47286432
726	15.47286432
727	15.4728643
728	15.4728643
729	15.47286429
730	15.47286429
731	15.47286399
732	15.47286399
733	15.47286399
734	15.47286398
735	15.47286398
736	15.47286397
737	15.47286397
738	15.47286396
739	15.47286396
740	15.47286396
741	15.47286395
742	15.47286395
743	15.47286395
744	15.47286395
745	15.47286395
746	15.47286394
747	15.47286394
748	15.47286394
749	15.47286394
750	15.47286394
751	15.47286394
752	15.47286394
753	15.47286394
754	15.47286394
755	15.47286394
756	15.47286393
757	15.47286393
758	15.47286393
759	15.47286393
760	15.47286393
761	15.47286393
762	15.47286393
763	15.47286393
764	15.47286392
765	15.47286392
766	15.47286391
767	15.47286391
768	15.47286391
769	15.47286391
770	15.47286391
771	15.47286391
772	15.47286391
773	15.4728639
774	15.4728639
775	15.4728639
776	15.47286378
777	15.47286361
778	15.47286361
779	15.4728636
780	15.4728636
781	15.4728636
782	15.4728636
783	15.47286355
784	15.47286304
785	15.472863
786	15.47286299
787	15.47286299
788	15.47286278
789	15.47286273
790	15.47286271
791	15.47286271
792	15.4728627
793	15.47286184
794	15.47286184
795	15.47286164
796	15.4728616
797	15.47286159
798	15.47286159
799	15.47286159
800	15.47286159
801	15.47286154
802	15.47286153
803	15.47286153
804	15.47286153
805	15.47286153
806	15.47286151
807	15.47286151
808	15.4728615
809	15.4728615
810	15.4728615
811	15.4728615
812	15.4728615
813	15.4728615
814	15.4728615
815	15.4728615
816	15.4728615
817	15.47286146
818	15.47286146
819	15.47286146
820	15.47286145
821	15.47286145
822	15.47286145
823	15.47286145
824	15.47286145
825	15.47286145
826	15.47286145
827	15.47286145
828	15.47286145
829	15.47286145
830	15.47286135
831	15.47286135
832	15.47286132
833	15.47286132
834	15.47286132
835	15.47286132
836	15.47286132
837	15.47286132
838	15.47286131
839	15.47286131
840	15.47286131
841	15.47286131
842	15.47286128
843	15.47286128
844	15.47286128
845	15.47286128
846	15.47286128
847	15.47286128
848	15.47286128
849	15.47286128
850	15.47286127
851	15.47286119
852	15.47286118
853	15.47286118
854	15.47286118
855	15.47286118
856	15.47286118
857	15.47286118
858	15.47286117
859	15.47286117
860	15.47286117
861	15.47286117
862	15.47286117
863	15.47286117
864	15.47286117
865	15.47286117
866	15.47286116
867	15.47286115
868	15.47286115
869	15.47286115
870	15.47286115
871	15.47286115
872	15.47286115
873	15.47286115
874	15.47286115
875	15.47286115
876	15.47286114
877	15.47286114
878	15.47286114
879	15.47286114
880	15.47286114
881	15.47286114
882	15.47286114
883	15.47286114
884	15.47286114
885	15.47286114
886	15.47286102
887	15.47286099
888	15.47286099
889	15.47286097
890	15.47286096
891	15.47286096
892	15.47286096
893	15.47286096
894	15.47286096
895	15.47286096
896	15.47286095
897	15.47286095
898	15.47286095
899	15.47286095
900	15.47286095
901	15.47286089
902	15.47286089
903	15.47286086
904	15.47286086
905	15.47286086
906	15.47286086
907	15.47286086
908	15.47286086
909	15.47286086
910	15.47286086
911	15.47286086
912	15.47286086
913	15.47286085
914	15.47286085
915	15.47286085
916	15.47286085
917	15.47286085
918	15.47286085
919	15.47286085
920	15.47286081
921	15.47286079
922	15.47286079
923	15.47286079
924	15.47286076
925	15.47286076
926	15.47286075
927	15.47286075
928	15.4728607
929	15.4728607
930	15.4728607
931	15.4728607
932	15.4728607
933	15.4728607
934	15.47286069
935	15.47286069
936	15.47286068
937	15.47286068
938	15.47286067
939	15.47286067
940	15.47286067
941	15.47286067
942	15.47286067
943	15.47286067
944	15.47286067
945	15.47286066
946	15.47286066
947	15.4728606
948	15.4728606
949	15.4728606
950	15.47286057
951	15.47286057
952	15.47286056
953	15.47286053
954	15.47286053
955	15.47286053
956	15.47286052
957	15.47286052
958	15.47286052
959	15.47286051
960	15.4728605
961	15.4728605
962	15.4728605
963	15.4728605
964	15.4728605
965	15.4728605
966	15.47286046
967	15.47286046
968	15.47286046
969	15.47286045
970	15.47286045
971	15.47286045
972	15.47286045
973	15.47286045
974	15.47286045
975	15.47286043
976	15.47286043
977	15.47286043
978	15.47286043
979	15.47286043
980	15.47286042
981	15.47286042
982	15.47286042
983	15.47286042
984	15.47286042
985	15.47286042
986	15.47286042
987	15.47286042
988	15.47286042
989	15.47286042
990	15.47286042
991	15.47286042
992	15.47286042
993	15.47286042
994	15.47286042
995	15.4728604
996	15.4728604
997	15.4728604
998	15.47286039
999	15.47286039
1000	15.47286039
1001	15.47286039
1002	15.47286039
1003	15.47286039
1004	15.47286039
1005	15.47286039
1006	15.47286039
1007	15.47286037
1008	15.47286037
1009	15.47286037
1010	15.47286037
1011	15.47286037
1012	15.47286037
1013	15.47286037
1014	15.47286037
1015	15.47286036
1016	15.47286036
1017	15.47286036
1018	15.47286036
1019	15.47286036
1020	15.47286036
1021	15.47286036
1022	15.47286036
1023	15.47286035
1024	15.47286031
1025	15.47286031
1026	15.4728603
1027	15.4728603
1028	15.47286029
1029	15.47286029
1030	15.47286029
1031	15.47286029
1032	15.47286029
1033	15.47286029
1034	15.47286029
1035	15.47286029
1036	15.47286029
1037	15.47286029
1038	15.47286029
1039	15.47286029
1040	15.47286029
1041	15.47286029
1042	15.47286029
1043	15.47286028
1044	15.47286028
1045	15.47286028
1046	15.47286028
1047	15.47286028
1048	15.47286028
1049	15.47286028
1050	15.47286028
1051	15.47286028
1052	15.47286028
1053	15.47286017
1054	15.47286016
1055	15.47286016
1056	15.47286016
1057	15.47286016
1058	15.47286016
1059	15.47286016
1060	15.47286016
1061	15.47286016
1062	15.47286016
1063	15.47286016
1064	15.47286016
1065	15.47286016
1066	15.47286016
1067	15.47286016
1068	15.47286016
1069	15.47286016
1070	15.47286016
1071	15.47286016
1072	15.47286016
1073	15.47286016
1074	15.47286016
1075	15.47286016
1076	15.47286016
1077	15.47285962
1078	15.4728596
1079	15.4728596
1080	15.4728596
1081	15.4728596
1082	15.47285958
1083	15.47285958
1084	15.47285957
1085	15.47285942
1086	15.47285942
1087	15.47285936
1088	15.47285935
1089	15.47285935
1090	15.47285934
1091	15.47285934
1092	15.47285934
1093	15.47285933
1094	15.47285933
1095	15.47285932
1096	15.47285932
1097	15.47285932
1098	15.47285932
1099	15.47285932
1100	15.47285932
1101	15.47285932
1102	15.47285932
1103	15.47285932
1104	15.4728593
1105	15.4728593
1106	15.4728593
1107	15.4728593
1108	15.4728593
1109	15.47285925
1110	15.47285925
1111	15.47285925
1112	15.47285924
1113	15.47285924
1114	15.47285924
1115	15.47285924
1116	15.47285923
1117	15.47285923
1118	15.47285906
1119	15.47285906
1120	15.47285905
1121	15.47285904
1122	15.47285904
1123	15.47285904
1124	15.47285904
1125	15.47285903
1126	15.47285902
1127	15.47285902
1128	15.47285902
1129	15.47285901
1130	15.47285901
1131	15.47285901
1132	15.47285901
1133	15.47285901
1134	15.472859
1135	15.472859
1136	15.47285899
1137	15.47285899
1138	15.47285898
1139	15.47285898
1140	15.47285898
1141	15.47285898
1142	15.47285898
1143	15.47285898
1144	15.47285898
1145	15.47285898
1146	15.47285898
1147	15.47285898
1148	15.47285898
1149	15.47285898
1150	15.47285898
1151	15.47285898
1152	15.47285897
1153	15.47285897
1154	15.47285897
1155	15.47285896
1156	15.47285896
1157	15.47285896
1158	15.47285896
1159	15.47285896
1160	15.47285896
1161	15.47285896
1162	15.47285896
1163	15.47285896
1164	15.47285896
1165	15.47285896
1166	15.47285896
1167	15.47285896
1168	15.47285896
1169	15.47285895
1170	15.47285895
1171	15.47285895
1172	15.47285895
1173	15.47285894
1174	15.47285894
1175	15.47285894
1176	15.47285894
1177	15.47285894
1178	15.47285893
1179	15.47285893
1180	15.47285893
1181	15.47285893
1182	15.47285893
1183	15.47285892
1184	15.47285891
1185	15.47285891
1186	15.47285891
1187	15.47285891
1188	15.4728589
1189	15.4728589
1190	15.4728589
1191	15.4728589
1192	15.4728589
1193	15.4728589
1194	15.4728589
1195	15.4728589
1196	15.4728589
1197	15.4728589
1198	15.4728589
1199	15.4728589
1200	15.4728589
1201	15.4728589
1202	15.4728589
1203	15.4728589
1204	15.4728589
1205	15.4728589
1206	15.4728589
1207	15.4728589
1208	15.4728589
1209	15.4728589
1210	15.4728589
1211	15.4728589
1212	15.4728589
1213	15.4728589
1214	15.4728589
1215	15.4728589
1216	15.4728589
1217	15.4728589
1218	15.47285879
1219	15.47285879
1220	15.47285879
1221	15.47285879
1222	15.47285879
1223	15.47285879
1224	15.47285879
1225	15.47285879
1226	15.47285879
1227	15.47285879
1228	15.47285879
1229	15.47285879
1230	15.47285879
1231	15.47285879
1232	15.47285879
1233	15.47285879
1234	15.47285879
1235	15.47285876
1236	15.47285875
1237	15.47285874
1238	15.47285874
1239	15.47285874
1240	15.47285874
1241	15.47285874
