iter	Passed	Remaining
0	22	111531
1	42	107335
2	59	98290
3	67	84680
4	75	75783
5	77	64856
6	112	80191
7	139	86865
8	150	83587
9	165	82794
10	178	80890
11	193	80428
12	195	74910
13	211	75319
14	215	71740
15	231	72033
16	241	70827
17	248	68821
18	269	70735
19	295	73523
20	307	72905
21	312	70667
22	319	69203
23	334	69427
24	360	71718
25	369	70743
26	373	68789
27	377	67035
28	380	65284
29	383	63565
30	386	61969
31	391	60800
32	399	60076
33	405	59253
34	408	57941
35	411	56717
36	418	56162
37	438	57268
38	442	56235
39	450	55818
40	458	55404
41	472	55783
42	482	55617
43	486	54846
44	494	54461
45	499	53798
46	503	53014
47	528	54485
48	549	55563
49	570	56512
50	582	56569
51	589	56131
52	597	55794
53	608	55743
54	624	56106
55	632	55809
56	641	55601
57	673	57427
58	677	56755
59	683	56235
60	694	56264
61	703	56060
62	707	55434
63	713	55038
64	718	54526
65	724	54124
66	727	53589
67	731	53050
68	735	52542
69	738	52033
70	742	51563
71	755	51743
72	761	51375
73	766	51044
74	767	50379
75	774	50201
76	785	50245
77	797	50301
78	801	49931
79	806	49591
80	831	50499
81	858	51499
82	870	51565
83	879	51468
84	891	51547
85	899	51408
86	909	51373
87	915	51117
88	921	50829
89	927	50573
90	932	50297
91	945	50467
92	949	50105
93	952	49729
94	955	49342
95	960	49082
96	977	49416
97	982	49137
98	987	48892
99	1001	49057
100	1009	48967
101	1014	48717
102	1018	48405
103	1024	48221
104	1029	47996
105	1036	47842
106	1053	48166
107	1065	48264
108	1073	48154
109	1078	47963
110	1081	47639
111	1085	47352
112	1090	47178
113	1098	47100
114	1102	46851
115	1105	46565
116	1137	47493
117	1142	47278
118	1146	47009
119	1150	46787
120	1176	47446
121	1198	47908
122	1208	47928
123	1212	47693
124	1216	47426
125	1219	47185
126	1224	46980
127	1229	46813
128	1233	46586
129	1240	46453
130	1245	46310
131	1248	46038
132	1251	45802
133	1261	45826
134	1266	45643
135	1267	45324
136	1270	45095
137	1275	44952
138	1278	44701
139	1280	44463
140	1281	44164
141	1285	43974
142	1289	43791
143	1297	43744
144	1301	43586
145	1304	43384
146	1305	43107
147	1310	42967
148	1316	42857
149	1321	42728
150	1331	42745
151	1337	42673
152	1341	42490
